Hand,Neck
10,37
5,0
13,30
7,10
15,12
25,37
6,34
18,45
5,37
17,29
12,41
17,28
5,40
2,0
5,11
3,12
7,26
25,0
25,10
15,39
19,33
1,25
8,36
15,15
5,7
22,39
3,13
0,43
19,8
8,11
19,9
1,29
3,8
13,4
8,41
8,1
15,7
0,23
6,47
26,31
26,0
14,23
26,27
0,32
20,43
0,14
19,43
4,28
8,6
14,7
8,19
8,4
26,34
15,36
0,34
26,14
10,43
4,27
21,10
0,0
13,24
13,0
9,43
0,11
1,41
8,40
23,37
21,21
26,6
0,13
21,7
8,35
26,36
11,3
26,17
26,36
25,6
26,15
0,42
22,47
17,46
2,30
2,10
0,19
14,18
15,25
5,12
0,24
7,19
19,29
25,13
20,41
26,7
20,17
0,5
12,4
2,41
9,38
7,10
2,15
0,0
0,30
0,0
10,7
26,19
0,6
0,24
26,37
18,42
23,5
26,21
20,47
0,44
26,26
10,24
13,24
8,8
8,32
17,28
0,17
17,15
26,9
11,25
17,14
6,1
0,33
26,27
21,16
26,11
21,39
13,28
15,0
10,20
26,12
5,0
17,20
0,43
8,27
7,23
0,0
5,4
25,2
0,24
17,40
14,31
14,34
26,5
26,44
13,21
9,26
26,8
11,31
0,0
0,18
7,39
8,0
0,35
18,0
7,8
11,25
14,0
0,32
0,25
3,44
4,0
2,16
10,30
16,38
10,0
19,2
20,13
8,19
7,43
13,6
6,10
0,26
19,11
21,11
26,25
13,28
14,35
7,45
20,11
0,24
19,29
8,13
21,30
8,6
15,44
15,3
24,30
22,30
1,0
0,4
5,35
5,35
19,3
0,25
4,42
6,7
0,26
4,45
19,47
4,11
0,27
13,37
0,9
20,21
19,30
16,12
2,35
1,41
0,0
5,41
25,0
20,14
17,10
24,36
7,27
24,30
8,18
3,6
20,6
14,10
10,11
9,44
22,30
0,8
6,24
19,30
0,15
8,15
11,25
1,36
3,40
17,36
21,10
11,44
15,23
25,28
8,9
0,7
25,15
4,15
2,0
1,0
21,3
5,28
0,33
11,2
26,11
25,23
0,0
26,0
19,0
3,3
19,0
1,33
0,18
26,28
0,31
11,45
0,27
0,11
26,43
4,40
6,14
6,1
2,16
26,40
24,41
8,28
2,24
0,0
0,45
12,19
0,27
15,45
19,10
7,31
1,18
0,18
13,1
0,21
26,17
17,14
0,30
6,2
14,20
7,13
0,9
14,19
1,44
0,38
10,9
20,32
4,11
14,11
5,34
0,25
10,19
11,11
1,10
21,25
10,36
26,6
20,46
0,31
24,6
19,8
5,20
0,24
26,33
8,30
0,43
0,11
11,35
19,11
1,32
11,11
25,27
0,6
21,7
5,4
10,37
13,38
0,39
9,0
6,16
4,1
22,5
7,0
7,18
23,47
21,0
3,0
25,24
1,36
3,25
21,14
