Body,Body_color
1,15
3,5
13,4
4,3
33,6
1,29
29,4
32,10
23,6
30,1
3,10
2,4
25,10
33,3
3,3
13,2
24,3
33,3
19,1
3,5
1,51
28,2
3,5
19,13
1,1
4,12
1,33
33,9
1,1
3,5
1,47
14,4
3,17
7,9
14,2
3,7
30,10
2,12
15,1
25,3
3,5
1,24
1,21
1,21
19,1
25,8
4,5
34,6
5,6
14,4
3,1
10,7
1,16
16,1
6,8
32,6
29,8
10,3
4,3
1,35
3,10
22,5
27,1
19,1
29,3
25,7
32,7
21,4
3,6
18,10
3,3
28,2
9,1
3,9
15,6
1,7
5,6
18,1
19,3
20,7
3,9
1,15
9,1
5,2
30,10
25,7
3,10
20,7
4,4
29,5
19,10
21,2
25,2
1,36
3,14
19,4
20,7
3,20
6,7
23,7
33,8
31,3
2,6
9,5
34,10
1,6
29,3
25,10
1,28
3,3
2,3
32,9
33,7
19,7
1,34
32,10
5,6
1,55
31,2
3,1
21,4
28,1
9,5
11,8
13,5
11,1
6,3
32,9
20,7
10,1
34,9
4,5
19,8
14,3
22,5
18,7
3,4
21,3
1,1
6,1
1,14
1,24
27,5
34,7
10,3
31,3
1,21
9,4
25,8
34,6
1,25
3,7
29,5
13,1
13,9
1,3
25,10
1,48
20,7
7,6
1,45
29,1
21,4
32,1
22,5
7,3
32,10
5,6
19,7
1,34
12,2
5,1
18,11
10,6
1,9
3,7
5,2
3,3
1,48
2,1
24,4
3,11
33,6
1,54
31,10
30,8
1,45
15,1
14,1
10,11
19,7
1,31
30,10
1,13
11,10
13,6
18,6
22,2
2,6
6,6
27,3
25,10
11,9
1,55
1,29
6,4
2,2
3,3
1,3
1,3
33,8
4,7
11,10
3,4
19,12
6,3
30,10
7,7
5,3
22,5
18,10
28,4
1,20
31,10
1,40
20,3
3,12
24,7
21,2
27,1
15,8
4,2
1,35
32,10
13,4
11,3
29,10
1,21
28,1
32,9
1,34
31,4
22,6
1,44
14,2
1,46
33,3
18,6
32,7
25,7
27,2
3,3
1,8
34,7
31,7
27,5
25,10
1,4
31,4
32,2
3,5
3,10
25,7
23,6
1,33
15,7
27,2
3,6
10,3
25,1
25,12
25,10
5,5
25,7
5,1
28,2
23,4
9,2
1,15
13,6
22,2
24,5
3,12
19,2
2,11
25,13
30,7
18,10
23,4
20,4
1,33
34,9
34,4
1,52
18,2
1,27
21,5
19,3
2,2
34,8
25,11
2,9
3,5
19,7
3,19
15,8
34,7
1,15
31,1
19,3
18,8
19,7
1,6
9,9
21,5
1,28
2,12
29,10
29,2
29,7
24,4
11,6
33,3
2,11
29,7
27,4
32,2
19,2
29,2
19,2
14,1
24,3
24,2
32,4
22,6
3,7
7,9
25,1
1,44
2,7
3,18
34,2
29,1
7,3
5,5
30,2
10,3
25,6
19,10
28,2
25,2
1,25
6,3
28,2
6,4
3,2
3,3
23,2
30,5
10,2
27,2
18,6
27,4
18,3
27,2
25,2
1,8
3,16
32,6
13,9
18,2
10,11
4,3
7,7
1,5
10,10
28,2
34,9
3,5
11,5
1,21
31,9
23,2
1,12
22,3
1,14
9,6
